nodeID,nodeUserID,nodeTime,actionType,videoID,platform
NRFEnex8MF21dytDg9vfAg,ff0vicGZco1mZzYxUCWiGg,2018-08-17 08:10:04,tweet,yFuJlqKIITw,twitter
Qeyxwl00d0vgLfKh1YqUEw,MCUuXxcepDc2FFRh9i-AtQ,2019-02-11 18:27:06,tweet,CCmN6X_7kn0,twitter
1QIQqg23ItMfiKbFFrPkAw,5hBVs8jS6_vCAFsHOjvKcA,2019-01-27 02:54:41,tweet,65iSdP1NGD4,twitter
iYMBH3KdJvOiUHYxeKfx_w,qhQLCsDQNEtptuJJzfEVZA,2019-03-16 00:56:16,tweet,W5DWPs6AY6U,twitter
G86DyDFas0zLKkBFW0GWwg,lSmQYvUcuGn6oFyjGJduDw,2018-04-19 13:25:32,tweet,3vNwe7yKbwo,twitter
ftfcETgdEaMkeiFX2eQ00w,CY_DsEIKuw8RT5czhBq8sg,2018-07-30 00:01:48,reply,O5iABf3Yjbo,twitter
l4rvwu6ZjwXKQKiyWjeMwg,9EK-sAO09JLFn6kBoIc_lg,2018-11-13 20:54:18,tweet,pbe97rPRbWc,twitter
HiCDdgBiXrZicDcluD4UIA,Qq5FgC8tDlY2C5Ti3g4tZQ,2019-03-11 15:43:08,tweet,-GOVSjwtAT0,twitter
zJ7fw0MTVeCXDlqvdBXX7w,Qq5FgC8tDlY2C5Ti3g4tZQ,2019-02-06 21:27:50,tweet,OBkn78q_t_Q,twitter
yRs1URUPQ677uMzlmqJwuA,-w9PuVSzBpvr9686KCRBmA,2018-04-20 22:40:40,reply,mBxgZot3U74,twitter
nuO-T5B6pzpJVtkFRRioeA,lSmQYvUcuGn6oFyjGJduDw,2018-05-07 18:01:46,tweet,2L-r54yEaPw,twitter
KP4bDNwvEGBB8Z_u1wL__Q,txePIgk67cLdMbiOGZRfhw,2019-02-21 08:20:34,tweet,CLRsB_QJvkI,twitter
TKnT4KKJVV2bcxe-9i_tww,UuHEZn6gpXOpzVyZUdWZ-w,2018-08-30 21:01:42,reply,3HCFol7g-FU,twitter
EMiLQPpbXklS2kPZgsoAqQ,jIMph0acKFll3FfTma1-vg,2018-12-12 15:36:05,tweet,7edMjIwLg14,twitter
WmhD8onn_tJu_GqcCt9hkw,5mYsLZtnZb3P-2CuT8vjfA,2018-04-17 12:49:29,tweet,mvD7qhDwljs,twitter
rrcSCetLoyJoKiJKbxoDaQ,eAcM0As9a7h8xF-YLQ7RZQ,2018-12-15 21:12:29,reply,OBkn78q_t_Q,twitter
g63oeH4H04cd2j9voo2tiQ,lSmQYvUcuGn6oFyjGJduDw,2018-04-15 17:22:55,tweet,XH11Co4_1kU,twitter
